id,text,lang,timestamp
1615301206041296896,"RT @evrenese: #deprem Mağduriyetimizi anlayacaginizi ve #eyt Kapsam 31.12.1999 olacağı günü dört gözle bekliyoruz.
Syg.
@_cevdetyilmaz
@ekr…",tr,2023-01-17 11:53:18.628
1615319403826118656,今日の日運に、北海道に中規模-大地震を強力に誘発する最主力危険コード100「北海道地震の発生」 https://t.co/7q1ULdUu5x https://t.co/eYn1QylkWR,ja,2023-01-17 13:05:37.998
1615319568372858882,"RT @andresiniesta8: Todo mi cariño y fuerza para Kobe y toda su gente en esta fecha tan señalada, hoy que se cumplen 28 años del terremoto…",ja,2023-01-17 13:06:16.851
1615319725680263169,"RT @SarahAlainn: What if this world could become a lie
And everything we knew would vanish in a sigh
Still I would close my eyes
Your voice…",en,2023-01-17 13:06:54.955
1615319867615232000,"RT @BEBANEGRA: Un terremoto de magnitud 7.0 ocurrido el 17 de enero de 1929,destruyó la ciudad de Cumaná. El epicentro del sismo se ubicó e…",es,2023-01-17 13:07:28.872
1615319898372145152,"RT @VTVcanal8: #EFEMÉRIDE🗓️| El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la…",es,2023-01-17 13:07:35.838
1615319893234040832,"RT @NeilLowenthal1: WHOLE LOTTA SHAKIN' GOIN' ON

This rather unsettling video captures the powerful 7.9 earthquake that struck Indonesia e…",en,2023-01-17 13:07:35.225
1615319908467834880,"RT @VTVcanal8: #EFEMÉRIDE🗓️| El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la…",es,2023-01-17 13:07:37.991
1615319944740196354,"RT @tsukiyominoasa: From @myuchanyes -san:
Photo taken inside the tent (where spent after the earthquake)
28 years later, I wrote what I th…",en,2023-01-17 13:07:46.722
1615319981113364480,f2 those myriad6 souls destined7 to be engulfed8 in the earthquake of https://t.co/dHMfO7XCaE,en,2023-01-17 13:07:55.753
1615319997743566848,@jsanchezcristo Sea como sea..ese señor debe dejar su cargo para defenderse.,es,2023-01-17 13:07:59.738
1615320000629477378,N9 those myriad6 souls destined7 to be engulfed8 in the earthquake of https://t.co/UzRmm6EFqC,en,2023-01-17 13:08:00.842
1615320039095431169,安岡力也のことディスってる？ https://t.co/V1F8ySZVzD,ja,2023-01-17 13:08:09.811
1615320037308641280,"@jishin_mitate @yuzutogari 私が見た赤い月は夜の８時とか９時くらいかな？

地震が発生する前に磁場が発生するとか何とか言ってました。
その影響では無いかと言う事らしいです。",ja,2023-01-17 13:08:09.483
1615320060213530629,"RT @FUNVISIS: El #16Ene de 1674 a las 3:30 p. m. ocurrió el Terremoto de Los Andes 🇻🇪, M 6,8, este sismo sacudió a Trujillo, Mérida y El To…",es,2023-01-17 13:08:14.783
1615320113506312192,"RT @enahpiutoficial: El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la ciudad d…",es,2023-01-17 13:08:26.895
1615320134520037379,"@jsanchezcristo Que Renuncie Mindefensa no es digno de ese cargo, que resuelva sus actos de corrupción",es,2023-01-17 13:08:32.023
1615320167684407297,those myriad6 souls destined7 to be engulfed8 in the earthquake of    48 #广州 #上海 #深圳           https://t.co/CqPGqN2nnJ,en,2023-01-17 13:08:39.909
1615320179646365696,"RT @enahpiutoficial: El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la ciudad d…",es,2023-01-17 13:08:42.983
1615320257358340096,"RT @NHKWORLD_News: People across Japan are remembering the victims of 1995's Great Hanshin-Awaji Earthquake, which rocked Hyogo Prefecture…",en,2023-01-17 13:09:01.941
1615320297904668673,"RT @enahpiutoficial: El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la ciudad d…",es,2023-01-17 13:09:10.858
1615320324781785089,"RT @enahpiutoficial: El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la ciudad d…",es,2023-01-17 13:09:18.441
1615320362321080320,"RT @VTVcanal8: #EFEMÉRIDE🗓️| El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la…",es,2023-01-17 13:09:27.972
1615320434550906884,"RT @VTVcanal8: #EFEMÉRIDE🗓️| El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la…",es,2023-01-17 13:09:43.967
1615320452188213248,RT @routedata_north: 1月17日16時37分頃、地震がありました。震源は上川地方北部（和寒町中和付近）、震源の深さは約10km、地震の規模を示すマグニチュードは4.4と推定されます。震度は鷹栖町・比布町・愛別町・和寒町で3、旭川市・東神楽町・当麻町・剣淵町・…,ja,2023-01-17 13:09:48.072
1615320499243945986,"RT @enahpiutoficial: El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la ciudad d…",es,2023-01-17 13:09:58.957
1615320566101168130,"RT @BEBANEGRA: Un terremoto de magnitud 7.0 ocurrido el 17 de enero de 1929,destruyó la ciudad de Cumaná. El epicentro del sismo se ubicó e…",es,2023-01-17 13:10:14.879
1615320597172748288,"RT @VTVcanal8: #EFEMÉRIDE🗓️| El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la…",es,2023-01-17 13:10:22.989
1615320611475038209,"RT @BEBANEGRA: Un terremoto de magnitud 7.0 ocurrido el 17 de enero de 1929,destruyó la ciudad de Cumaná. El epicentro del sismo se ubicó e…",es,2023-01-17 13:10:25.763
1615320655796338689,"#Earthquake M4.6 Near Coast of Central Chile 17 Jan 11:53 UTC - report/info: 
https://t.co/VUc6kSKv6X",en,2023-01-17 13:10:37.358
1615320668282798081,#Earthquake (#sismo) M4.6 strikes 67 km S of #Lebu (#Chile) 17 min ago. More info: https://t.co/7nxaGmzCcA,en,2023-01-17 13:10:39.924
1615320686804828160,"New #Earthquake. 🌎
4.6 (Mb) - 133 km al noroeste de Temuco - Chile.
2023/01/17 11:53:26 UTC.
App: https://t.co/RblVNxZYn8
#Temuco #Chile #earthquake #sismo #temblor #terremoto https://t.co/FfqDLnMxvZ",es,2023-01-17 13:10:44.026
1615320754182029312,"RT @MBUDDMA: Faith inspiring stories,literal fulfilment of dreams of Companions of Promised Messiah(as
https://t.co/bXb4eUxmIK
.I was lying…",en,2023-01-17 13:10:59.778
1615320817700593665,"RT @VTVcanal8: #EFEMÉRIDE🗓️| El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la…",es,2023-01-17 13:11:14.807
1615320854795276291,those myriad6 souls destined7 to be engulfed8 in the earthquake of    48 #广州 #上海 #深圳           https://t.co/m0k3UYW4Iu,en,2023-01-17 13:11:23.914
1615320908163579905,"(...) Teodora foi a última dessas moças a ser sorteada, chegando lá com 12 anos. Pouco tempo depois um terremoto destruiu a ilha e ela resolveu por respeito manter sua promessa e continuar na torre, mas para poder fazer suas viagens começou a adquirir livros de todo o mundo!",pt,2023-01-17 13:11:36.858
1615320927935369216,"RT @enahpiutoficial: El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la ciudad d…",es,2023-01-17 13:11:40.802
1615320969127809026,those myriad6 souls destined7 to be engulfed8 in the earthquake of    48 #广州 #上海 #深圳           https://t.co/lQ1qpMrFUB,en,2023-01-17 13:11:50.814
1615301208260096006,"@DODDOD_d おつさん、こんばんは😊
28年って言われるとビックリしますが、そんなに前の感じはしないですね💦
来たるべき時に備えて心も荷物も準備しておきたいですね(*´ｰ｀)",ja,2023-01-17 11:53:19.649
1615301300958416897,"RT @VTVcanal8: #EFEMÉRIDE🗓️| El #17Ene de 1929 quedó grabado en la historia de Venezuela tras el trágico terremoto de 7,5 que sacudió a la…",es,2023-01-17 11:53:42.175
1615301406671486978,"@oztrk_aydn @BekirTiryakii Her coğrafyada imtihan başka;
Mesela Japonya depremle, Avusturalya yangınlarla, Afrika açlıkla, İskandinav ülkeleri soğuklarla sınanır.
Maalesef Gerizekâlılıkla ve Vatan hainliği ile sınanan tek ülke bizimkisi!
#BoeyleGitmezAKP #deprem #EhliyetAffi #HesapEksideZamNerede #Hatay",tr,2023-01-17 11:54:06.635
1615301515090210816,RT @Douyyds: 晃的我以为地震了哦 https://t.co/MBmYvn8oTi,zh,2023-01-17 11:54:32.776
1615301625005936642,"RT @evrenese: #deprem Mağduriyetimizi anlayacaginizi ve #eyt Kapsam 31.12.1999 olacağı günü dört gözle bekliyoruz.
Syg.
@_cevdetyilmaz
@ekr…",tr,2023-01-17 11:54:59.206
